Meet|City|Country|Course|Event ID|Distance|Stroke|Round|Gender|Firstname|Lastname|Birthyear|Height cm|Weight Kg|BMI|Speed / Kg|Speed m/s|Time
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Pernille|BLUME|1994|171.0|60.0|20.519134|0.031281|1.876877|53.28
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Tomomi|AOKI|1994|164.0|55.0|20.449137|0.033435|1.838911|54.38
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Estellah|FILS RABETSARA|1994|167.0|59.0|21.155294|0.026763|1.57903|63.33
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Monica|RAMIREZ ABELLA|1993|170.0|55.0|19.031142|0.031527|1.734004|57.67
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Anna|SANTAMANS|1993|177.0|61.0|19.470778|0.030107|1.836547|54.45
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Julia|HASSLER|1993|177.0|73.0|23.301095|0.023936|1.747335|57.23
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Aminath|SHAJAN|1993|157.0|55.0|22.313278|0.027544|1.514922|66.01
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Sarah|SJOSTROM|1993|182.0|75.0|22.642193|0.025426|1.906941|52.44
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Michelle|COLEMAN|1993|186.0|74.0|21.389756|0.025589|1.893581|52.81
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Karen|TORREZ|1992|165.0|59.0|21.671258|0.03055|1.802451|55.48
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|On Kei|LEI|1991|168.0|58.0|20.549887|0.029488|1.710279|58.47
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Veronika|POPOVA|1991|182.0|68.0|20.528922|0.027742|1.886437|53.01
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Shannon|VREELAND|1991|188.0|79.0|22.351743|0.023974|1.893939|52.8
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Ana|NOBREGA|1990|170.0|60.0|20.761246|0.028134|1.688049|59.24
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Nina|RANGELOVA|1990|170.0|56.0|19.377163|0.033161|1.85701|53.85
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Tracy|KEITH-MATCHITT|1990|180.0|69.0|21.296296|0.025587|1.765537|56.64
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Ranomi|KROMOWIDJOJO|1990|180.0|72.0|22.222222|0.026375|1.898975|52.66
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Daniela|SCHREIBER|1989|185.0|65.0|18.991965|0.028427|1.847746|54.12
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Margarita|NESTEROVA|1989|168.0|57.0|20.195578|0.032032|1.825817|54.77
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Elsie|UWAMAHORO|1988|165.0|54.0|19.834711|0.025147|1.357958|73.64
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Birgit|KOSCHISCHEK|1987|169.0|61.0|21.357796|0.030213|1.842978|54.26
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Femke|HEEMSKERK|1987|180.0|68.0|20.987654|0.028043|1.906941|52.44
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Erika|FERRAIOLI|1986|180.0|65.0|20.061728|0.029099|1.891432|52.87
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Hanna-Maria|SEPPALA|1984|174.0|60.0|19.817677|0.031112|1.866716|53.57
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|121|50|BACK|FIN|M|Eugene|GODSOE|1988|187.0|77.0|22.019503|0.028171|2.169197|23.05
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|121|50|BACK|FIN|M|Albert|SUBIRATS|1986|190.0|85.0|23.545706|0.025399|2.158895|23.16
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|121|50|BACK|FIN|M|Matt|GREVERS|1985|203.0|113.0|27.421194|0.018974|2.144082|23.32
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|122|200|BACK|FIN|F|Sayaka|AKASE|1994|165.0|55.0|20.20202|0.029733|1.635323|122.3
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|122|200|BACK|FIN|F|Elizabeth|BEISEL|1992|167.0|63.0|22.589551|0.025556|1.610047|124.22
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|122|200|BACK|FIN|F|Hilary|CALDWELL|1991|173.0|61.0|20.38157|0.026643|1.625223|123.06
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|122|200|BACK|FIN|F|Simona|BAUMRTOVA|1991|176.0|66.0|21.306818|0.024391|1.609788|124.24
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|123|50|FLY|FIN|M|Aleksandr|POPKOV|1994|185.0|80.0|23.374726|0.027741|2.219263|22.53
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|123|50|FLY|FIN|M|Mehdy|METELLA|1992|191.0|99.0|27.137414|0.022269|2.204586|22.68
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|123|50|FLY|FIN|M|Francois|HEERSBRANDT|1989|179.0|76.0|23.719609|0.028995|2.203614|22.69
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|123|50|FLY|FIN|M|Nicholas|SANTOS|1980|191.0|88.0|24.122146|0.025733|2.264493|22.08
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|124|100|BREAST|FIN|F|Ruta|MEILUTYTE|1997|176.0|75.0|24.212293|0.021347|1.601025|62.46
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|124|100|BREAST|FIN|F|Moniek|NIJHUIS|1988|179.0|67.0|20.910708|0.02331|1.561768|64.03
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|124|100|BREAST|FIN|F|Jennie|JOHANSSON|1988|188.0|72.0|20.371209|0.021341|1.53657|65.08
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|124|100|BREAST|FIN|F|Sally|HUNTER|1985|172.0|60.0|20.281233|0.025712|1.542734|64.82
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|125|400|FREE|FIN|M|James|GUY|1995|188.0|84.0|23.76641|0.02201|1.848856|216.35
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|125|400|FREE|FIN|M|Peter|BERNEK|1992|193.0|83.0|22.282477|0.022486|1.866368|214.32
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|125|400|FREE|FIN|M|Ryan|COCHRANE|1988|192.0|80.0|21.701389|0.022801|1.824069|219.29
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|125|400|FREE|FIN|M|Mads|GLAESNER|1988|191.0|81.0|22.203339|0.022493|1.821908|219.55
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|125|400|FREE|FIN|M|Oussama|MELLOULI|1984|192.0|84.0|22.786458|0.021739|1.826067|219.05
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|126|200|MEDLEY|FIN|M|Kosuke|HAGINO|1994|177.0|71.0|22.662709|0.025499|1.810446|110.47
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|126|200|MEDLEY|FIN|M|Daiya|SETO|1994|174.0|75.0|24.772097|0.023854|1.789069|111.78999999999999
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|126|200|MEDLEY|FIN|M|Philip|HEINTZ|1991|194.0|85.0|22.584759|0.020858|1.772892|112.81
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|126|200|MEDLEY|FIN|M|Diogo|CARVALHO|1988|184.0|75.0|22.152647|0.023386|1.753924|114.03
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|127|400|FREE|FIN|F|Yufei|ZHANG|1998|175.0|66.0|21.55102|0.025304|1.670076|239.51
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|127|400|FREE|FIN|F|Chihiro|IGARASHI|1995|170.0|63.0|21.799308|0.0265|1.669519|239.59
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|127|400|FREE|FIN|F|Boglarka|KAPAS|1993|168.0|54.0|19.132653|0.03083|1.664794|240.27
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|127|400|FREE|FIN|F|Sharon|VAN ROUWENDAAL|1993|173.0|65.0|21.718066|0.025883|1.682369|237.76
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|127|400|FREE|FIN|F|Elizabeth|BEISEL|1992|167.0|63.0|22.589551|0.026039|1.640487|243.83
